=== process order1.1
mix  |     base |   baseAA |     dsp0 |   dsp0AA |       g4 |     g4AA |      g4h |       a4 |     g4p8 |     t4p8 |       t4 |    m4s4h ||  baseAA%    dsp0%  dsp0AA%      g4%    g4AA%     g4h%      a4%    g4p8%    t4p8%      t4%   m4s4h%
F    |   27.129 |   25.455 |   22.345 |   21.091 |   21.992 |   23.245 |   23.930 |   23.935 |   23.900 |   27.097 |   27.110 |   27.118 ||   -6.17  -17.64  -22.26  -18.94  -14.32  -11.79  -11.78  -11.90   -0.12   -0.07   -0.04
R1   |   27.428 |   28.826 |   27.303 |   26.110 |   26.218 |   27.275 |   27.208 |   27.212 |   27.166 |   27.200 |   27.283 |   27.244 ||   +5.10   -0.46   -4.81   -4.41   -0.56   -0.80   -0.79   -0.96   -0.83   -0.53   -0.67
R2   |   26.940 |   29.317 |   26.859 |   25.280 |   25.442 |   26.841 |   26.718 |   26.809 |   26.738 |   26.754 |   26.854 |   26.826 ||   +8.82   -0.30   -6.16   -5.56   -0.36   -0.82   -0.49   -0.75   -0.69   -0.32   -0.42
R3   |   26.590 |   29.481 |   26.526 |   24.807 |   24.977 |   26.512 |   26.545 |   26.521 |   26.455 |   26.520 |   26.548 |   26.547 ||  +10.87   -0.24   -6.70   -6.06   -0.29   -0.17   -0.26   -0.51   -0.26   -0.16   -0.16
R4   |   26.428 |   29.589 |   26.394 |   24.519 |   24.670 |   26.376 |   26.291 |   26.351 |   26.319 |   26.318 |   26.392 |   26.400 ||  +11.96   -0.13   -7.22   -6.65   -0.19   -0.52   -0.29   -0.41   -0.42   -0.13   -0.11
R6   |   26.161 |   30.887 |   26.141 |   23.965 |   24.102 |   26.131 |   26.070 |   26.043 |   26.103 |   26.089 |   26.143 |   26.136 ||  +18.07   -0.08   -8.40   -7.87   -0.11   -0.35   -0.45   -0.22   -0.28   -0.07   -0.10
=== process order3.1
mix  |     base |      g4h |       a4 |   baseAA |     t4p8 |     dsp0 |    m4s4h |       g4 |   dsp0AA |       t4 |     g4p8 |     g4AA ||     g4h%      a4%  baseAA%    t4p8%    dsp0%   m4s4h%      g4%  dsp0AA%      t4%    g4p8%    g4AA%
A    |   28.430 |   24.719 |   23.619 |   28.645 |   24.139 |   29.351 |   24.552 |   24.718 |   28.846 |   24.022 |   24.483 |   24.614 ||  -13.05  -16.92   +0.75  -15.09   +3.24  -13.64  -13.06   +1.46  -15.50  -13.88  -13.42
B    |   61.986 |   59.538 |   59.728 |   62.042 |   59.131 |   62.075 |   59.253 |   59.541 |   61.854 |   58.687 |   59.932 |   59.460 ||   -3.95   -3.64   +0.09   -4.61   +0.14   -4.41   -3.95   -0.21   -5.32   -3.31   -4.08
C    |   38.012 |   36.342 |   36.236 |   38.133 |   35.930 |   38.279 |   35.973 |   36.439 |   38.270 |   36.016 |   36.304 |   36.453 ||   -4.39   -4.67   +0.32   -5.48   +0.70   -5.36   -4.14   +0.68   -5.25   -4.49   -4.10
D    |   23.952 |   17.993 |   13.582 |   23.928 |   12.888 |   23.968 |   12.931 |   17.870 |   23.923 |   12.878 |   17.900 |   17.869 ||  -24.88  -43.29   -0.10  -46.19   +0.07  -46.01  -25.39   -0.12  -46.23  -25.27  -25.39
E    |   25.794 |   17.988 |   15.562 |   25.761 |   14.516 |   25.766 |   15.445 |   17.867 |   25.757 |   14.254 |   17.893 |   17.867 ||  -30.26  -39.67   -0.13  -43.72   -0.11  -40.12  -30.73   -0.14  -44.74  -30.63  -30.73
F    |   27.077 |   23.923 |   23.211 |   27.136 |   20.830 |   27.159 |   25.294 |   23.884 |   27.085 |   22.346 |   21.949 |   23.904 ||  -11.65  -14.28   +0.22  -23.07   +0.30   -6.58  -11.79   +0.03  -17.47  -18.94  -11.72
R1   |   27.426 |   27.235 |   27.180 |   27.363 |   26.211 |   27.250 |   28.833 |   27.201 |   27.204 |   27.254 |   26.270 |   27.269 ||   -0.70   -0.90   -0.23   -4.43   -0.64   +5.13   -0.82   -0.81   -0.63   -4.22   -0.57
R2   |   26.979 |   26.856 |   26.742 |   26.928 |   25.421 |   26.796 |   29.289 |   26.753 |   26.799 |   26.774 |   25.410 |   26.821 ||   -0.46   -0.88   -0.19   -5.77   -0.68   +8.56   -0.84   -0.67   -0.76   -5.82   -0.59
R3   |   26.638 |   26.534 |   26.508 |   26.621 |   24.946 |   26.544 |   29.415 |   26.455 |   26.523 |   26.533 |   24.944 |   26.528 ||   -0.39   -0.49   -0.06   -6.35   -0.35  +10.42   -0.69   -0.43   -0.39   -6.36   -0.41
R4   |   26.459 |   26.371 |   26.322 |   26.440 |   24.647 |   26.332 |   29.524 |   26.299 |   26.375 |   26.368 |   24.676 |   26.360 ||   -0.34   -0.52   -0.07   -6.85   -0.48  +11.58   -0.60   -0.32   -0.34   -6.74   -0.38
