### AA-base : base base base base
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
R2   |   26.742 |   26.734 |   26.727 |   26.707 ||   -0.03   -0.05   -0.13
R3   |   26.464 |   26.481 |   26.441 |   26.456 ||   +0.06   -0.09   -0.03
R4   |   26.316 |   26.313 |   26.300 |   26.295 ||   -0.01   -0.06   -0.08
R6   |   26.085 |   26.094 |   26.076 |   26.072 ||   +0.04   -0.03   -0.05
mix  |     a4_0 |     g4_1 |     a4_2 |     g4_3 ||    g4_1%    a4_2%    g4_3%
A    |   23.569 |   24.631 |   23.409 |   24.678 ||   +4.51   -0.68   +4.71
B    |   59.794 |   59.367 |   59.766 |   59.438 ||   -0.71   -0.05   -0.60
C    |   36.364 |   36.148 |   36.239 |   36.258 ||   -0.59   -0.34   -0.29
D    |   13.648 |   17.873 |   13.604 |   17.871 ||  +30.95   -0.32  +30.94
E    |   15.506 |   17.872 |   15.515 |   17.865 ||  +15.26   +0.06  +15.21
F    |   23.044 |   23.872 |   22.955 |   23.885 ||   +3.59   -0.39   +3.65
R1   |   27.198 |   27.158 |   27.176 |   27.207 ||   -0.14   -0.08   +0.04
R2   |   26.745 |   26.726 |   26.708 |   26.709 ||   -0.07   -0.14   -0.13
R3   |   26.475 |   26.474 |   26.439 |   26.440 ||   -0.01   -0.14   -0.13
R4   |   26.321 |   26.316 |   26.301 |   26.303 ||   -0.02   -0.08   -0.07
R6   |   26.086 |   26.098 |   26.080 |   26.074 ||   +0.05   -0.02   -0.05
### p-a4-t4 : a4 t4 a4 t4
mix  |     a4_0 |     t4_1 |     a4_2 |     t4_3 ||    t4_1%    a4_2%    t4_3%
A    |   23.564 |   23.728 |   24.084 |   23.953 ||   +0.70   +2.21   +1.65
B    |   59.820 |   58.678 |   59.790 |   58.827 ||   -1.91   -0.05   -1.66
C    |   36.412 |   35.737 |   36.171 |   35.632 ||   -1.85   -0.66   -2.14
D    |   13.650 |   12.893 |   13.559 |   12.904 ||   -5.54   -0.66   -5.46
E    |   15.544 |   14.604 |   15.582 |   14.406 ||   -6.05   +0.24   -7.32
F    |   23.051 |   22.277 |   23.257 |   22.402 ||   -3.35   +0.90   -2.81
R1   |   27.175 |   27.177 |   27.247 |   27.270 ||   +0.01   +0.26   +0.35
R2   |   26.746 |   26.757 |   26.788 |   26.847 ||   +0.04   +0.16   +0.38
R3   |   26.468 |   26.467 |   26.511 |   26.533 ||   -0.00   +0.16   +0.25
R4   |   26.309 |   26.319 |   26.363 |   26.376 ||   +0.04   +0.21   +0.26
R6   |   26.085 |   26.095 |   26.125 |   26.125 ||   +0.04   +0.15   +0.15
mix  |     a4_0 |     t4_1 |     a4_2 |     t4_3 ||    t4_1%    a4_2%    t4_3%
A    |   23.691 |   23.866 |   23.620 |   23.995 ||   +0.74   -0.30   +1.28
B    |   59.811 |   58.703 |   59.761 |   58.871 ||   -1.85   -0.08   -1.57
C    |   36.410 |   35.726 |   36.121 |   35.612 ||   -1.88   -0.79   -2.19
D    |   13.641 |   12.899 |   13.557 |   12.902 ||   -5.44   -0.62   -5.42
E    |   15.558 |   14.723 |   15.573 |   14.338 ||   -5.37   +0.10   -7.85
F    |   23.033 |   22.284 |   23.284 |   22.407 ||   -3.25   +1.09   -2.72
R1   |   27.186 |   27.170 |   27.203 |   27.234 ||   -0.06   +0.06   +0.18
R2   |   26.745 |   26.716 |   26.806 |   26.838 ||   -0.11   +0.23   +0.35
R3   |   26.464 |   26.464 |   26.515 |   26.553 ||   -0.00   +0.19   +0.34
R4   |   26.312 |   26.310 |   26.365 |   26.280 ||   -0.01   +0.20   -0.12
R6   |   26.078 |   26.090 |   26.128 |   26.127 ||   +0.04   +0.19   +0.19
### p-t4-a4 : t4 a4 t4 a4
mix  |     t4_0 |     a4_1 |     t4_2 |     a4_3 ||    a4_1%    t4_2%    a4_3%
A    |   23.919 |   24.731 |   24.076 |   23.623 ||   +3.39   +0.65   -1.24
B    |   58.811 |   59.780 |   58.817 |   59.825 ||   +1.65   +0.01   +1.72
C    |   35.689 |   36.336 |   35.591 |   36.320 ||   +1.81   -0.27   +1.77
D    |   12.898 |   13.588 |   12.890 |   13.627 ||   +5.35   -0.06   +5.65
E    |   14.345 |   15.509 |   14.269 |   15.539 ||   +8.12   -0.53   +8.33
F    |   22.311 |   23.301 |   22.523 |   23.063 ||   +4.44   +0.95   +3.37
R1   |   27.194 |   27.252 |   27.264 |   27.205 ||   +0.22   +0.26   +0.04
R2   |   26.759 |   26.746 |   26.834 |   26.773 ||   -0.05   +0.28   +0.05
R3   |   26.468 |   26.458 |   26.494 |   26.490 ||   -0.04   +0.10   +0.08
R4   |   26.302 |   26.331 |   26.366 |   26.313 ||   +0.11   +0.24   +0.04
R6   |   26.090 |   26.076 |   26.064 |   26.096 ||   -0.05   -0.10   +0.02
mix  |     t4_0 |     a4_1 |     t4_2 |     a4_3 ||    a4_1%    t4_2%    a4_3%
A    |   23.928 |   24.564 |   24.049 |   23.745 ||   +2.66   +0.51   -0.77
B    |   58.799 |   59.750 |   58.812 |   59.873 ||   +1.62   +0.02   +1.83
C    |   35.640 |   36.248 |   35.548 |   36.297 ||   +1.71   -0.26   +1.85
D    |   12.898 |   13.585 |   12.888 |   13.625 ||   +5.33   -0.07   +5.64
E    |   14.303 |   15.499 |   14.276 |   15.516 ||   +8.36   -0.19   +8.48
F    |   22.323 |   23.289 |   22.530 |   23.006 ||   +4.33   +0.93   +3.06
R1   |   27.189 |   27.247 |   27.237 |   27.210 ||   +0.21   +0.18   +0.08
R2   |   26.743 |   26.750 |   26.830 |   26.773 ||   +0.03   +0.32   +0.11
R3   |   26.471 |   26.457 |   26.518 |   26.487 ||   -0.05   +0.18   +0.06
R4   |   26.307 |   26.387 |   26.313 |   26.307 ||   +0.30   +0.02   -0.00
R6   |   26.088 |   26.074 |   26.085 |   26.095 ||   -0.05   -0.01   +0.03
### p-g4-g4h : g4 g4h g4 g4h
mix  |     g4_0 |    g4h_1 |     g4_2 |    g4h_3 ||   g4h_1%    g4_2%   g4h_3%
A    |   24.604 |   24.696 |   24.595 |   24.836 ||   +0.38   -0.04   +0.94
B    |   59.342 |   59.453 |   59.419 |   59.543 ||   +0.19   +0.13   +0.34
C    |   36.054 |   36.063 |   36.123 |   36.284 ||   +0.02   +0.19   +0.64
D    |   17.872 |   17.992 |   17.876 |   18.001 ||   +0.67   +0.02   +0.72
E    |   17.872 |   17.987 |   17.874 |   17.995 ||   +0.64   +0.01   +0.69
F    |   23.894 |   23.898 |   23.869 |   23.913 ||   +0.02   -0.11   +0.08
R1   |   27.229 |   27.220 |   27.187 |   27.246 ||   -0.04   -0.16   +0.06
R2   |   26.764 |   26.800 |   26.724 |   26.802 ||   +0.14   -0.15   +0.14
R3   |   26.489 |   26.508 |   26.417 |   26.534 ||   +0.07   -0.27   +0.17
R4   |   26.332 |   26.365 |   26.268 |   26.276 ||   +0.12   -0.24   -0.21
R6   |   26.091 |   26.117 |   26.042 |   26.125 ||   +0.10   -0.19   +0.13
mix  |     g4_0 |    g4h_1 |     g4_2 |    g4h_3 ||   g4h_1%    g4_2%   g4h_3%
A    |   24.584 |   24.650 |   24.578 |   24.828 ||   +0.27   -0.03   +0.99
B    |   59.369 |   59.406 |   59.416 |   59.599 ||   +0.06   +0.08   +0.39
C    |   36.106 |   36.060 |   36.104 |   36.254 ||   -0.13   -0.00   +0.41
D    |   17.870 |   17.990 |   17.877 |   17.995 ||   +0.67   +0.04   +0.70
E    |   17.864 |   17.989 |   17.877 |   18.000 ||   +0.70   +0.07   +0.76
F    |   23.879 |   23.886 |   23.869 |   23.919 ||   +0.03   -0.04   +0.17
R1   |   27.232 |   27.184 |   27.211 |   27.245 ||   -0.18   -0.08   +0.05
R2   |   26.768 |   26.780 |   26.665 |   26.844 ||   +0.05   -0.38   +0.28
R3   |   26.475 |   26.522 |   26.435 |   26.532 ||   +0.18   -0.15   +0.21
R4   |   26.315 |   26.348 |   26.277 |   26.284 ||   +0.12   -0.15   -0.12
R6   |   26.078 |   26.106 |   26.045 |   26.120 ||   +0.11   -0.13   +0.16
### p-g4h-g4 : g4h g4 g4h g4
mix  |    g4h_0 |     g4_1 |    g4h_2 |     g4_3 ||    g4_1%   g4h_2%    g4_3%
A    |   24.679 |   24.583 |   24.745 |   24.649 ||   -0.39   +0.27   -0.12
B    |   59.392 |   59.317 |   59.465 |   59.416 ||   -0.13   +0.12   +0.04
C    |   36.101 |   36.179 |   36.131 |   36.276 ||   +0.22   +0.08   +0.48
D    |   17.986 |   17.875 |   17.992 |   17.863 ||   -0.62   +0.03   -0.69
E    |   17.985 |   17.870 |   17.997 |   17.876 ||   -0.64   +0.07   -0.60
F    |   23.885 |   23.850 |   23.895 |   23.904 ||   -0.15   +0.04   +0.08
R1   |   27.223 |   27.284 |   27.222 |   27.220 ||   +0.23   -0.00   -0.01
R2   |   26.743 |   26.833 |   26.754 |   26.725 ||   +0.33   +0.04   -0.07
R3   |   26.477 |   26.540 |   26.402 |   26.465 ||   +0.24   -0.28   -0.05
R4   |   26.322 |   26.361 |   26.261 |   26.321 ||   +0.15   -0.23   -0.00
R6   |   26.087 |   26.129 |   26.053 |   26.095 ||   +0.16   -0.13   +0.03
mix  |    g4h_0 |     g4_1 |    g4h_2 |     g4_3 ||    g4_1%   g4h_2%    g4_3%
A    |   24.678 |   24.605 |   24.706 |   24.651 ||   -0.29   +0.11   -0.11
B    |   59.464 |   59.351 |   59.464 |   59.385 ||   -0.19   -0.00   -0.13
C    |   36.104 |   36.127 |   36.213 |   36.253 ||   +0.06   +0.30   +0.41
D    |   17.988 |   17.865 |   18.000 |   17.875 ||   -0.68   +0.07   -0.63
E    |   17.980 |   17.874 |   17.996 |   17.866 ||   -0.59   +0.09   -0.64
F    |   23.868 |   23.861 |   23.915 |   23.878 ||   -0.03   +0.20   +0.04
R1   |   27.184 |   27.263 |   27.245 |   27.206 ||   +0.29   +0.22   +0.08
R2   |   26.746 |   26.849 |   26.715 |   26.690 ||   +0.38   -0.12   -0.21
R3   |   26.475 |   26.543 |   26.424 |   26.456 ||   +0.26   -0.19   -0.07
R4   |   26.311 |   26.363 |   26.278 |   26.327 ||   +0.20   -0.12   +0.06
R6   |   26.095 |   26.142 |   26.047 |   26.085 ||   +0.18   -0.18   -0.04
### p-g4-t4p8 : g4 t4p8 g4 t4p8
mix  |     g4_0 |   t4p8_1 |     g4_2 |   t4p8_3 ||  t4p8_1%    g4_2%  t4p8_3%
A    |   24.613 |   24.168 |   24.608 |   24.212 ||   -1.81   -0.02   -1.63
B    |   59.416 |   59.065 |   59.407 |   59.111 ||   -0.59   -0.01   -0.51
C    |   36.140 |   35.702 |   36.224 |   35.705 ||   -1.21   +0.23   -1.20
D    |   17.872 |   12.904 |   17.879 |   12.904 ||  -27.80   +0.04  -27.80
E    |   17.871 |   14.625 |   17.878 |   14.738 ||  -18.16   +0.04  -17.53
F    |   23.887 |   20.788 |   23.882 |   20.854 ||  -12.97   -0.02  -12.70
R1   |   27.185 |   26.103 |   27.179 |   26.115 ||   -3.98   -0.02   -3.94
