### AA-base : base base base base
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
R4   |   19.199 |   21.003 |   19.214 |   20.981 ||   +9.40   +0.07   +9.28
R6   |   19.395 |   20.517 |   19.404 |   20.516 ||   +5.78   +0.04   +5.78
### p-t4p8-t8 : t4p8 t8 t4p8 t8
mix  |   t4p8_0 |     t8_1 |   t4p8_2 |     t8_3 ||    t8_1%  t4p8_2%    t8_3%
A    |   18.836 |   18.074 |   19.169 |   18.010 ||   -4.04   +1.77   -4.38
B    |   49.037 |   48.368 |   49.167 |   48.453 ||   -1.36   +0.27   -1.19
C    |   29.151 |   30.141 |   29.433 |   29.573 ||   +3.40   +0.97   +1.45
D    |   10.917 |   10.924 |   10.921 |   10.930 ||   +0.06   +0.03   +0.12
E    |   11.815 |   12.071 |   12.045 |   12.096 ||   +2.17   +1.95   +2.38
F    |   17.743 |   18.210 |   18.045 |   18.254 ||   +2.63   +1.71   +2.88
R1   |   22.255 |   18.427 |   22.247 |   18.443 ||  -17.20   -0.04  -17.13
R2   |   21.648 |   18.907 |   21.646 |   18.971 ||  -12.66   -0.01  -12.37
R3   |   21.214 |   19.092 |   21.209 |   19.143 ||  -10.00   -0.02   -9.76
R4   |   20.959 |   19.218 |   20.971 |   19.266 ||   -8.31   +0.06   -8.08
R6   |   20.514 |   19.406 |   20.519 |   19.456 ||   -5.40   +0.02   -5.16
mix  |   t4p8_0 |     t8_1 |   t4p8_2 |     t8_3 ||    t8_1%  t4p8_2%    t8_3%
A    |   18.879 |   18.063 |   19.216 |   17.993 ||   -4.32   +1.79   -4.69
B    |   49.053 |   48.392 |   49.153 |   48.451 ||   -1.35   +0.20   -1.23
C    |   29.139 |   30.113 |   29.429 |   29.589 ||   +3.34   +0.99   +1.54
D    |   10.916 |   10.927 |   10.921 |   10.929 ||   +0.10   +0.04   +0.12
E    |   11.803 |   12.094 |   12.045 |   12.059 ||   +2.47   +2.05   +2.17
F    |   17.760 |   18.207 |   18.013 |   18.209 ||   +2.51   +1.42   +2.53
R1   |   22.243 |   18.418 |   22.249 |   18.455 ||  -17.20   +0.03  -17.03
R2   |   21.660 |   18.916 |   21.651 |   18.969 ||  -12.67   -0.04  -12.42
R3   |   21.207 |   19.090 |   21.217 |   19.149 ||   -9.98   +0.05   -9.70
R4   |   20.968 |   19.210 |   20.969 |   19.280 ||   -8.38   +0.00   -8.05
R6   |   20.521 |   19.410 |   20.512 |   19.457 ||   -5.41   -0.04   -5.18
### p-t7-t8 : t7 t8 t7 t8
mix  |     t7_0 |     t8_1 |     t7_2 |     t8_3 ||    t8_1%    t7_2%    t8_3%
A    |   17.346 |   17.977 |   17.484 |   17.949 ||   +3.64   +0.80   +3.48
B    |   48.033 |   48.334 |   48.261 |   48.388 ||   +0.63   +0.48   +0.74
C    |   28.985 |   30.012 |   29.490 |   29.551 ||   +3.54   +1.74   +1.95
D    |   10.932 |   10.925 |   10.927 |   10.928 ||   -0.06   -0.04   -0.04
E    |   12.103 |   12.089 |   12.037 |   11.995 ||   -0.12   -0.55   -0.89
F    |   18.779 |   18.177 |   18.859 |   18.191 ||   -3.21   +0.43   -3.13
R1   |   19.168 |   18.432 |   19.148 |   18.499 ||   -3.84   -0.11   -3.49
R2   |   19.961 |   18.912 |   19.940 |   18.981 ||   -5.25   -0.11   -4.91
R3   |   20.288 |   19.091 |   20.297 |   19.153 ||   -5.90   +0.05   -5.60
R4   |   20.497 |   19.212 |   20.497 |   19.269 ||   -6.27   +0.00   -5.99
R6   |   20.859 |   19.404 |   20.865 |   19.450 ||   -6.98   +0.03   -6.75
mix  |     t7_0 |     t8_1 |     t7_2 |     t8_3 ||    t8_1%    t7_2%    t8_3%
A    |   17.424 |   17.901 |   17.517 |   17.919 ||   +2.74   +0.54   +2.84
B    |   48.112 |   48.385 |   48.183 |   48.358 ||   +0.57   +0.15   +0.51
C    |   28.943 |   30.047 |   29.490 |   29.530 ||   +3.81   +1.89   +2.03
D    |   10.932 |   10.928 |   10.928 |   10.929 ||   -0.04   -0.03   -0.03
E    |   12.114 |   12.073 |   12.040 |   11.995 ||   -0.34   -0.61   -0.98
F    |   18.806 |   18.185 |   18.855 |   18.209 ||   -3.30   +0.26   -3.17
R1   |   19.174 |   18.447 |   19.148 |   18.500 ||   -3.79   -0.13   -3.51
R2   |   19.954 |   18.916 |   19.942 |   18.976 ||   -5.20   -0.06   -4.90
R3   |   20.286 |   19.110 |   20.293 |   19.159 ||   -5.80   +0.03   -5.56
R4   |   20.487 |   19.230 |   20.492 |   19.280 ||   -6.13   +0.02   -5.89
R6   |   20.866 |   19.416 |   20.869 |   19.450 ||   -6.95   +0.01   -6.79
### p-t8-t7 : t8 t7 t8 t7
mix  |     t8_0 |     t7_1 |     t8_2 |     t7_3 ||    t7_1%    t8_2%    t7_3%
A    |   17.994 |   17.341 |   17.913 |   17.490 ||   -3.63   -0.45   -2.80
B    |   48.247 |   47.934 |   48.351 |   48.190 ||   -0.65   +0.22   -0.12
C    |   29.152 |   28.964 |   30.013 |   29.501 ||   -0.64   +2.96   +1.20
D    |   10.927 |   10.931 |   10.917 |   10.929 ||   +0.04   -0.09   +0.02
E    |   12.092 |   12.078 |   12.067 |   12.051 ||   -0.12   -0.21   -0.34
F    |   18.190 |   18.726 |   18.179 |   18.840 ||   +2.94   -0.07   +3.57
R1   |   18.480 |   19.149 |   18.513 |   19.161 ||   +3.62   +0.18   +3.69
