=== process order1.1
mix  |     base |   baseAA |     dsp0 |   dsp0AA |     m4s4 |   m4s4AA |    m4s4h |       s4 |      s4h |     t4p8 |       t4 |      cw4 ||  baseAA%    dsp0%  dsp0AA%    m4s4%  m4s4AA%   m4s4h%      s4%     s4h%    t4p8%      t4%     cw4%
B    |   51.804 |   49.828 |   49.902 |   51.822 |   49.085 |   51.870 |   48.844 |   50.305 |   51.827 |   49.213 |   49.636 |   50.180 ||   -3.81   -3.67   +0.04   -5.25   +0.13   -5.71   -2.89   +0.04   -5.00   -4.18   -3.13
C    |   31.762 |   29.775 |   30.167 |   32.025 |   29.421 |   31.714 |   30.287 |   30.158 |   31.801 |   29.721 |   29.765 |   30.255 ||   -6.26   -5.02   +0.83   -7.37   -0.15   -4.65   -5.05   +0.12   -6.43   -6.29   -4.74
D    |   19.964 |   10.963 |   10.984 |   19.967 |   10.920 |   20.026 |   11.056 |   10.985 |   20.022 |   10.919 |   10.964 |   10.986 ||  -45.09  -44.98   +0.01  -45.30   +0.31  -44.62  -44.98   +0.29  -45.31  -45.08  -44.97
E    |   21.023 |   12.714 |   13.417 |   21.038 |   12.059 |   21.061 |   12.372 |   13.460 |   21.029 |   12.041 |   12.705 |   13.395 ||  -39.52  -36.18   +0.07  -42.64   +0.18  -41.15  -35.98   +0.03  -42.72  -39.56  -36.28
F    |   21.978 |   20.763 |   19.331 |   21.972 |   17.861 |   22.045 |   19.417 |   21.522 |   21.994 |   18.851 |   19.222 |   21.452 ||   -5.52  -12.04   -0.02  -18.73   +0.31  -11.65   -2.08   +0.07  -14.23  -12.54   -2.39
R1   |   22.049 |   23.799 |   22.100 |   22.025 |   22.237 |   22.130 |   19.961 |   24.567 |   22.116 |   22.080 |   22.140 |   24.572 ||   +7.94   +0.23   -0.11   +0.85   +0.37   -9.47  +11.42   +0.30   +0.14   +0.41  +11.44
R2   |   21.839 |   24.027 |   21.865 |   21.813 |   21.649 |   21.908 |   20.788 |   24.960 |   21.905 |   21.867 |   21.908 |   24.971 ||  +10.02   +0.12   -0.12   -0.87   +0.31   -4.82  +14.29   +0.30   +0.13   +0.32  +14.34
R3   |   21.746 |   24.074 |   21.765 |   21.728 |   21.207 |   21.786 |   21.152 |   24.986 |   21.789 |   21.767 |   21.799 |   25.000 ||  +10.71   +0.09   -0.08   -2.48   +0.18   -2.73  +14.90   +0.20   +0.10   +0.25  +14.97
R4   |   21.685 |   24.113 |   21.709 |   21.674 |   20.956 |   21.725 |   21.370 |   25.005 |   21.722 |   21.710 |   21.733 |   25.021 ||  +11.20   +0.11   -0.05   -3.36   +0.18   -1.45  +15.31   +0.17   +0.12   +0.22  +15.38
R6   |   21.608 |   24.183 |   21.626 |   21.609 |   20.520 |   21.634 |   21.759 |   24.990 |   21.628 |   21.621 |   21.635 |   24.993 ||  +11.91   +0.08   +0.00   -5.04   +0.12   +0.70  +15.65   +0.09   +0.06   +0.12  +15.66
