### AA-base : base base base base
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
C    |   45.207 |   45.260 |   45.365 |   45.041 ||   +0.12   +0.35   -0.37
D    |   15.268 |   15.124 |   15.131 |   15.041 ||   -0.94   -0.90   -1.49
E    |   21.655 |   21.152 |   21.724 |   20.467 ||   -2.32   +0.32   -5.49
F    |   34.556 |   33.083 |   34.882 |   32.527 ||   -4.26   +0.94   -5.87
R1   |   37.315 |   35.497 |   36.960 |   35.538 ||   -4.87   -0.95   -4.76
R2   |   38.323 |   36.160 |   38.073 |   36.250 ||   -5.64   -0.65   -5.41
R3   |   38.492 |   36.314 |   38.265 |   36.418 ||   -5.66   -0.59   -5.39
R4   |   38.580 |   36.375 |   38.355 |   36.393 ||   -5.72   -0.59   -5.67
R6   |   38.605 |   36.439 |   38.380 |   36.449 ||   -5.61   -0.58   -5.59
### p-m4s4h-m4s4 : m4s4h m4s4 m4s4h m4s4
mix  |  m4s4h_0 |   m4s4_1 |  m4s4h_2 |   m4s4_3 ||  m4s4_1% m4s4h_2%  m4s4_3%
A    |   30.693 |   31.862 |   31.175 |   31.950 ||   +3.81   +1.57   +4.10
B    |   68.836 |   69.681 |   68.951 |   69.722 ||   +1.23   +0.17   +1.29
C    |   44.869 |   45.247 |   44.990 |   45.396 ||   +0.84   +0.27   +1.17
D    |   15.063 |   15.273 |   15.117 |   15.105 ||   +1.40   +0.36   +0.28
E    |   20.628 |   21.564 |   21.163 |   21.771 ||   +4.54   +2.59   +5.54
F    |   32.601 |   34.705 |   32.989 |   34.906 ||   +6.45   +1.19   +7.07
R1   |   35.662 |   37.434 |   35.445 |   37.063 ||   +4.97   -0.61   +3.93
R2   |   36.238 |   38.381 |   36.169 |   38.031 ||   +5.91   -0.19   +4.95
R3   |   36.388 |   38.568 |   36.317 |   38.220 ||   +5.99   -0.19   +5.03
R4   |   36.393 |   38.623 |   36.378 |   38.362 ||   +6.13   -0.04   +5.41
R6   |   36.467 |   38.628 |   36.455 |   38.379 ||   +5.92   -0.03   +5.24
mix  |  m4s4h_0 |   m4s4_1 |  m4s4h_2 |   m4s4_3 ||  m4s4_1% m4s4h_2%  m4s4_3%
A    |   30.880 |   31.814 |   31.114 |   31.937 ||   +3.03   +0.76   +3.42
B    |   68.866 |   69.684 |   68.673 |   69.668 ||   +1.19   -0.28   +1.16
C    |   45.008 |   45.365 |   45.105 |   45.558 ||   +0.79   +0.22   +1.22
D    |   15.015 |   15.255 |   15.192 |   15.131 ||   +1.60   +1.18   +0.77
E    |   20.686 |   21.572 |   21.268 |   21.816 ||   +4.29   +2.81   +5.46
F    |   32.596 |   34.765 |   32.939 |   34.886 ||   +6.65   +1.05   +7.03
R1   |   35.648 |   37.536 |   35.435 |   36.984 ||   +5.30   -0.60   +3.75
R2   |   36.372 |   38.417 |   36.159 |   38.038 ||   +5.62   -0.59   +4.58
R3   |   36.444 |   38.554 |   36.300 |   38.233 ||   +5.79   -0.39   +4.91
R4   |   36.477 |   38.609 |   36.373 |   38.380 ||   +5.84   -0.29   +5.22
R6   |   36.442 |   38.617 |   36.458 |   38.389 ||   +5.97   +0.04   +5.34
### p-t4-s4h : t4 s4h t4 s4h
mix  |     t4_0 |    s4h_1 |     t4_2 |    s4h_3 ||   s4h_1%    t4_2%   s4h_3%
A    |   28.672 |   30.029 |   28.721 |   30.135 ||   +4.73   +0.17   +5.10
B    |   67.050 |   68.089 |   66.991 |   67.969 ||   +1.55   -0.09   +1.37
C    |   44.289 |   44.966 |   44.197 |   45.062 ||   +1.53   -0.21   +1.74
D    |   14.507 |   15.126 |   14.533 |   15.099 ||   +4.27   +0.18   +4.08
E    |   18.177 |   20.490 |   18.141 |   20.984 ||  +12.72   -0.20  +15.44
F    |   27.685 |   28.657 |   27.786 |   28.726 ||   +3.51   +0.36   +3.76
R1   |   32.813 |   33.108 |   33.172 |   32.760 ||   +0.90   +1.09   -0.16
R2   |   32.840 |   33.226 |   33.259 |   32.942 ||   +1.17   +1.28   +0.31
R3   |   33.101 |   31.432 |   31.248 |   31.498 ||   -5.04   -5.60   -4.84
R4   |   31.209 |   31.024 |   31.009 |   31.222 ||   -0.60   -0.64   +0.04
R6   |   30.861 |   30.657 |   30.660 |   30.830 ||   -0.66   -0.65   -0.10
mix  |     t4_0 |    s4h_1 |     t4_2 |    s4h_3 ||   s4h_1%    t4_2%   s4h_3%
A    |   28.667 |   30.125 |   28.805 |   30.181 ||   +5.08   +0.48   +5.28
B    |   67.069 |   68.194 |   66.970 |   68.248 ||   +1.68   -0.15   +1.76
C    |   44.236 |   44.859 |   44.184 |   44.939 ||   +1.41   -0.12   +1.59
D    |   14.487 |   15.080 |   14.532 |   15.122 ||   +4.10   +0.32   +4.39
E    |   18.173 |   20.546 |   18.088 |   20.844 ||  +13.06   -0.46  +14.70
F    |   27.632 |   28.691 |   27.729 |   28.783 ||   +3.83   +0.35   +4.17
R1   |   32.629 |   32.995 |   33.016 |   32.655 ||   +1.12   +1.19   +0.08
R2   |   32.607 |   33.133 |   33.129 |   32.767 ||   +1.61   +1.60   +0.49
R3   |   32.795 |   33.270 |   33.327 |   32.790 ||   +1.45   +1.62   -0.02
R4   |   31.242 |   31.085 |   31.041 |   31.188 ||   -0.50   -0.64   -0.17
R6   |   30.861 |   30.656 |   30.672 |   30.843 ||   -0.66   -0.61   -0.06
### p-s4h-t4 : s4h t4 s4h t4
mix  |    s4h_0 |     t4_1 |    s4h_2 |     t4_3 ||    t4_1%   s4h_2%    t4_3%
A    |   30.166 |   28.667 |   29.922 |   28.936 ||   -4.97   -0.81   -4.08
